자치구명,법정동명,단독다가구,아파트,연립다세대,오피스텔
강동구,강일동,109000.0,85374.77777777778,,11383.577380952382
강동구,고덕동,245285.7142857143,132617.9934086629,42910.599078341016,22745.23809523809
강동구,길동,208099.1923076923,50381.82352941176,33549.093373493975,18343.85
강동구,둔촌동,150077.7857142857,144474.60563380283,38663.91414141414,9600.0
강동구,명일동,221659.0909090909,113873.1506849315,35092.8729281768,22476.079207920797
강동구,상일동,199250.0,125189.13641133264,50825.0,
강동구,성내동,182519.7794117647,77897.23931623931,32154.048092868987,24275.67567567568
강동구,암사동,136437.48888888888,109258.6735870819,32466.4069591528,30873.61111111111
강동구,천호동,139149.23571428572,82233.28526645768,33699.890510948906,21539.780234070226
노원구,공릉동,113763.33333333331,56580.68356500409,24216.88009592326,11334.90566037736
노원구,상계동,105670.90909090907,56199.13284772806,27407.56649395509,15184.545454545454
노원구,월계동,106972.6,64790.253634894994,22364.662921348317,13071.739130434782
노원구,중계동,56906.06060606061,69264.35677530017,19273.623853211007,31326.119402985078
노원구,하계동,150500.0,62194.81644640235,32361.36363636364,12480.0
성북구,길음동,72807.46153846153,92012.7385892116,30799.926829268294,
성북구,돈암동,73600.0,73415.94110429448,33359.011494252874,
성북구,동선동1가,143333.33333333334,85333.33333333333,,16950.0
성북구,동선동2가,108436.85714285714,,19366.666666666668,
성북구,동선동3가,202585.7142857143,63000.0,29250.0,29322.222222222223
성북구,동선동4가,95425.0,55075.0,35200.0,14407.142857142857
성북구,동선동5가,68820.0,35750.0,26860.65625,
성북구,동소문동1가,36000.0,,36427.27272727273,
성북구,동소문동2가,65875.0,,,
성북구,동소문동3가,36000.0,,,
성북구,동소문동4가,141601.66666666666,57879.16666666666,37614.81481481482,21235.714285714286
성북구,동소문동5가,132073.6,47625.0,,
성북구,동소문동6가,181600.0,20275.0,31811.36363636364,27523.166666666668
성북구,동소문동7가,137741.0,73169.11764705883,32700.0,
성북구,보문동1가,142000.0,106338.66666666669,,
성북구,보문동2가,173250.0,50000.0,28483.33333333333,12500.0
성북구,보문동3가,44600.0,85882.97872340426,,
성북구,보문동4가,144000.0,87083.33333333333,29000.0,
성북구,보문동5가,79600.0,,17297.82608695652,
성북구,보문동6가,75750.0,91321.09375,32668.96551724138,
성북구,보문동7가,250500.0,66000.0,29125.0,30500.0
성북구,삼선동1가,61300.0,,30841.176470588234,
성북구,삼선동2가,104288.54545454546,78800.34375,34770.0,
성북구,삼선동3가,115300.0,109363.33333333331,29591.22807017544,
성북구,삼선동4가,97000.0,76209.09090909091,27082.14285714286,
성북구,삼선동5가,143819.23076923078,39250.0,30758.13953488372,15457.142857142857
성북구,상월곡동,145449.5,63376.87074829932,28019.64285714286,
성북구,석관동,75573.60227272728,74236.04607046071,31549.609375,27545.83333333333
성북구,성북동,273806.7083333333,22875.0,69723.68421052632,
성북구,성북동1가,86750.0,18400.0,37763.15789473684,16500.0
성북구,안암동1가,92435.3,82675.0,31900.0,
성북구,안암동2가,86954.54545454546,,17074.074074074073,13833.333333333334
성북구,안암동3가,74500.0,38608.25,32694.444444444445,
성북구,안암동4가,,21300.0,42354.16666666666,
성북구,안암동5가,156150.0,11300.0,33187.5,
성북구,장위동,115047.2972972973,87433.6006655574,37176.34607645875,11226.470588235294
성북구,정릉동,79503.54838709677,58276.22273249139,26120.39302544769,20199.33333333333
성북구,종암동,87965.71428571429,80097.50505050505,30393.135,40000.0
성북구,청량리동,,69000.0,,
성북구,하월곡동,115770.0,73932.26315789473,29292.30769230769,41326.55
