자치구명,법정동명,단독다가구,아파트,연립다세대,오피스텔
강남구,개포동,545474.2857142857,218419.1275890638,55883.64116094987,26344.949494949495
강남구,논현동,707363.4019607843,145133.4890510949,61442.06329113924,37610.55
강남구,대치동,684195.7857142857,285068.31059811125,72874.640625,32590.775
강남구,도곡동,676250.0,264658.3556231003,48071.42857142857,119054.16666666667
강남구,삼성동,697171.052631579,239118.1954887218,81639.87704918033,45502.018867924526
강남구,세곡동,396000.0,129376.8115942029,251791.66666666666,32320.227272727272
강남구,수서동,452500.0,132656.70682730924,,41479.06976744186
강남구,신사동,1048710.0,107619.30693069307,91772.0,40439.6370967742
강남구,압구정동,1500000.0,480564.4680851064,,
강남구,역삼동,628895.918367347,178804.43548387097,48663.524879614764,28267.690172543134
강남구,율현동,343728.5714285714,113000.0,,50166.666666666664
강남구,일원동,370200.0,201391.85791366905,85721.32075471699,
강남구,자곡동,465497.0,139043.8510638298,110480.0,20939.71557562077
강남구,청담동,1023784.7619047619,255818.3188854489,339244.35714285716,103103.1914893617
강동구,강일동,109000.0,85374.77777777778,,11383.577380952382
강동구,고덕동,245285.7142857143,132617.9934086629,42910.599078341016,22745.238095238095
강동구,길동,208099.1923076923,50381.82352941176,33549.093373493975,18343.85
강동구,둔촌동,150077.7857142857,144474.60563380283,38663.91414141414,9600.0
강동구,명일동,221659.0909090909,113873.1506849315,35092.872928176796,22476.079207920793
강동구,상일동,199250.0,125189.13641133263,50825.0,
강동구,성내동,182519.7794117647,77897.23931623931,32154.048092868987,24275.675675675677
강동구,암사동,136437.48888888888,109258.6735870819,32466.4069591528,30873.61111111111
강동구,천호동,139149.23571428572,82233.28526645768,33699.890510948906,21539.780234070222
강북구,미아동,82148.88028169014,65592.05628373168,26975.324525185795,14111.794871794871
강북구,번동,69642.10869565218,41824.10459183674,22574.316628701596,15880.864197530864
강북구,수유동,85480.60804020101,39430.8864265928,21700.10778193924,17454.18674698795
강북구,우이동,74665.0,52814.634146341465,23291.460240963854,
강서구,가양동,157000.0,73911.41287284145,18361.866666666665,15720.20618556701
강서구,개화동,117657.14285714286,,14816.666666666666,
강서구,공항동,128945.84745762713,50127.41935483871,27772.609819121448,13101.756756756757
강서구,내발산동,138453.84615384616,88588.35611510792,27122.22627737226,92795.0
강서구,등촌동,227919.59375,72658.36633663367,29133.95590551181,22588.68711656442
강서구,마곡동,83200.0,119218.79237288136,42119.574468085106,18876.131989924434
강서구,방화동,131247.7931034483,58735.236938031594,28145.739197530864,12624.151741293532
강서구,염창동,283333.3333333333,83822.18309859154,29178.75,30428.68269230769
강서구,외발산동,260000.0,,17281.428571428572,
강서구,화곡동,142077.0,70346.9,23622.28648820905,24713.746987951807
관악구,남현동,212480.375,72797.898989899,40206.666666666664,15450.0
관악구,봉천동,151151.8774509804,77318.04777415852,28805.007931262393,17265.086677367577
관악구,사당동,,104000.0,,
관악구,신림동,132659.91759465478,57280.1078140455,27390.42225730071,20995.370437956204
광진구,광장동,159684.2857142857,141599.6387283237,68521.8085106383,26624.242424242424
광진구,구의동,192006.58252427186,124259.7637969095,33920.823839662444,22432.74519230769
광진구,군자동,171390.640625,82546.29629629629,34752.24742268041,22929.333333333332
광진구,능동,287472.17391304346,,41187.096774193546,19410.0
광진구,자양동,218867.77653631286,137109.82441860466,47783.375494071144,37870.09497206704
광진구,중곡동,132276.4213836478,48199.09090909091,34179.12172442942,27847.046153846153
광진구,화양동,193859.5744680851,27982.65445026178,42585.21276595745,23417.062695924764
구로구,가리봉동,90836.84210526316,50068.181818181816,25456.338028169015,20780.0
구로구,개봉동,90608.77142857143,66895.1279342723,24916.812014134277,25894.285714285714
