자치구,법정동,마트개수,병원수,역개수,총_시설_수
강동구,강일동,0,0,1,1
강동구,고덕동,0,1,1,2
강동구,길동,0,9,1,10
강동구,둔촌동,0,2,3,5
강동구,명일동,1,2,2,5
강동구,상일동,0,3,1,4
강동구,상일제1동,0,1,0,1
강동구,성내동,0,11,1,12
강동구,암사동,0,0,1,1
강동구,암사동,0,0,1,1
강동구,천호동,2,9,3,14
노원구,공릉동,0,6,4,10
노원구,상계동,0,13,6,19
노원구,월계동,0,1,1,2
노원구,중계동,2,1,1,4
노원구,하계동,0,1,1,2
성북구,길음동,2,1,1,4
성북구,돈암동,0,0,0,0
성북구,동선동1가,0,1,0,1
성북구,동선동2가,0,0,0,0
성북구,동선동3가,0,0,0,0
성북구,동선동4가,0,1,1,2
성북구,동선동5가,0,0,0,0
성북구,동소문동1가,0,0,0,0
성북구,동소문동2가,0,0,0,0
성북구,동소문동3가,0,0,0,0
성북구,동소문동4가,0,0,0,0
성북구,동소문동5가,0,0,0,0
성북구,동소문동6가,0,0,0,0
성북구,동소문동7가,0,0,0,0
성북구,보문동1가,0,0,1,1
성북구,보문동2가,0,0,0,0
성북구,보문동3가,0,0,0,0
성북구,보문동4가,0,1,0,1
성북구,보문동5가,0,0,0,0
성북구,보문동6가,0,0,0,0
성북구,보문동7가,0,1,0,1
성북구,삼선동1가,0,0,1,1
성북구,삼선동2가,0,0,0,0
성북구,삼선동3가,0,0,0,0
성북구,삼선동4가,0,0,0,0
성북구,삼선동5가,0,0,0,0
성북구,상월곡동,1,0,1,2
성북구,석관동,0,0,1,1
성북구,성북동,0,0,0,0
성북구,성북동1가,0,0,0,0
성북구,안암동1가,0,0,0,0
성북구,안암동2가,0,0,0,0
성북구,안암동3가,0,0,0,0
성북구,안암동4가,0,0,0,0
성북구,안암동5가,0,2,1,3
성북구,장위동,0,1,0,1
성북구,정릉동,0,3,0,3
성북구,종암동,0,2,1,3
성북구,하월곡동,0,3,1,4
알수없음,청량리동,0,0,0,0
