index,기사날짜,기사제목,자치구,법정동,긍/부정
0,2025.12.01,"성북구, 노인 ‘건강UP 범죄DOWN’ 교육 성료",성북구,,1
1,2025.08.27.,"성북구, 어르신 건강·안전 지키는 ‘건강UP 범죄DOWN’ 교육 추진",성북구,,1
2,2023.10.11.,"성북구, 무차별 범죄 대응 강화 ‘여성 호신술 특강’",성북구,,1
3,2023.09.20.,"성북구 동선동, 이상동기 범죄예방 민·관·경 합동순찰",성북구,동선동,1
4,2023.09.14.,"성북구, 18일 민·관합동순찰대 출범··· 범죄취약지역 야간 집중 순찰",성북구,,1
5,2023.08.30.,"성북구, 빈틈없는 치안망 구축··· 범죄 취약지역 발굴·야간시간 집중...",성북구,,1
6,2023.08.23.,"묻지마 범죄 속출··· 성북구, 구민 불안 해소 총력",성북구,,1
7,2023.08.22.,"성북구, 묻지마 범죄 대응 총력",성북구,,1
8,2023.08.21.,"성북구, CCTV 안전망 통합플랫폼 본격 가동··· 범죄·재난 영상정보 ...",성북구,,1
9,2023.02.01.,"서울 성북구, 빈집 합동점검 실시…청소년 비행 등 범죄 예방",성북구,,1
10,2022.04.06.,"성북구, 1인가구 범죄·스토킹 예방··· 안심장비 지급키로",성북구,,1
11,2022.04.06.,"성북구, 성북·종암경찰서와 업무협약 체결…“스토킹 범죄 피해예방”",성북구,,1
12,2022.03.04.,"성북구, 범죄 사전 예방 위한 '안심귀가 스카우트' 오리엔테이션 개최",성북구,,1
13,2022.02.26.,성북구 장위2동 새마을금고 직원들 보이스피싱 범죄 막은 기막힌 사연?,성북구,장위2동,1
14,2025.12.01,"검찰, 강동구 천호동 '흉기 난동 살인' 60대 남성 구속기소",강동구,천호동,-1
15,2025.12.01,"강동구, 범죄예방환경설계로 대통령 표창",강동구,,1
16,2025.12.01,"이원국 강동구의회 행정재경위원장, 청소년 범죄예방 공로 감사패",강동구,,1
17,2025.11.24,"강동구, 2025년 범죄예방대상 대통령 표창 수상",강동구,,1
18,2025.11.13.,강동구 천호동 '흉기 난동' 남성 구속 송치…보복살인 혐의,강동구,천호동,-1
19,2025.11.05.,강동구 천호동 칼부림 피해자 1명 숨져…피의자 성추행 이어 살인 혐의,강동구,천호동,-1
20,2025.09.29.,"강동구, 마약류 범죄 예방 캠페인 실시",강동구,,1
21,2025.09.11.,강동구 ‘스토킹 범죄 예방 및 피해자 지원 사업’으로 서울 양성평등정...,강동구,,1
22,2025.01.22.,"강동구, 정책부문 도시설계대상…범죄 예방 인프라 구축 성공적",강동구,,1
23,2024.11.13.,"이수희 강동구청장, 딥페이크 범죄예방 릴레이 챌린지 동참",강동구,,1
24,2024.11.13.,"이수희 강동구청장, ‘딥페이크 성범죄 근절’ 챌린지 동참",강동구,,1
25,2024.08.08.,"강동구, 범죄없는 '안심골목길' 확대 조성",강동구,,1
26,2024.04.01.,강동구 여학생 대상 ‘살인예고’ 10대 남성 검거…구속영장 실질심사 ...,강동구,,-1
27,2023.12.13.,"“범죄 꼼짝마”…강동구, CCTV 관제시스템 업그레이드",강동구,,1
