,Unnamed: 0,헤드라인,내용,날짜,자치구,법정동
0,0,"한남2구역 재개발, 1월 이주 개시","한남2재정비촉진구역 주택재개발정비사업이 이주 절차에 돌입한다.한남2구역은 구역 내 점유자를 대상으로 오는 21일까지 이주비 신청, 이주계획서를  ...",2025.12.13,서울,전체
1,1,"북아현3구역, 사업시행계획 변경 총회 연기...정족수 확보 난항",서울 서대문구 북아현3 재정비촉진구역 주택재개발정비사업조합은 오는 13일 예정이던 사업시행계획 변경 총회를 27일로 연기한다고 밝혔다. 조합은 전 ...,2025.12.12,서울,전체
2,2,"부산시, 노후계획도시정비 1단계 선도지구 7,318호 선정",부산시가 노후계획도시정비 1단계 선도지구로 총 7318호를 선정하고 지원에 나선다.부산시는 14개 구역에서 공모 신청을 받고 특별정비예정구역 가운데 ...,2025.12.12,그외,전체
3,3,"서울시, 모아타운·재건축·재개발 대상지 66곳 토지거래허가구역 지정",서울 모아타운 대상지와 공공재개발·신속통합기획 후보지 등 총 6곳이 토지거래허가구역으로 지정됐다.서울시는 10일 제18차 도시계획위원회 심의를 거 ...,2025.12.11,서울,전체
4,4,"세계유산 영향평가 500m 확대..서울시 ""‘38개 정비사업 영향 받아..반대""","'세계유산 반경 500m 내 세계유산영향평가 의무화'를 규정한 국가유산청에 서울시가 ""강북 죽이기 법""이라며 강하게 반발했다. 종묘 인근 재개발 ...",2025.12.11,서울,전체
5,5,"국·공유지 375억 날릴 뻔...권익위, 내부신고자에 보상금 18.2억 지급",도시 재개발 사업과 관련해 도로 등 국·공유지 375억 원이 무상으로 넘어갈 뻔한 사건이 내부 신고로 드러났다. 국민권익위원회는 부패행위를 신고한 시 ...,2025.12.11,그외,전체
6,6,"DL건설, 중화동 329-38 일대 모아타운 수주",3개 구역을 통합 재개발하는 서울 중랑구 중화동 329-38번지 일대 모아타운 사업 시공사로 DL건설이 선정됐다. 가로주택 방식으로 개별 진행되던 중화2구 ...,2025.12.10,서울,전체
7,7,"여의도 광장아파트, 49층 1314세대로 재건축",여의도 광장아파트가 재건축 사업으로 최고 49층 1314세대 규모로 재탄생한다. 서울시는 지난 8일 ‘제13차 도시계획위원회 수권분과위원회’를 열고 여 ...,2025.12.09,서울,전체
8,8,"올림픽선수기자촌, 재건축 조합설립추진위 구성",서울 송파구 방이동 89번지 일원에서 추진 중인 올림픽선수기자촌아파트 재건축정비사업에 대한 조합설립추진위원회 승인이 완료됐다.송파구는 지난  ...,2025.12.09,서울,전체
9,9,"용산구, 서계통합구역 재개발 추진위 구성 승인",서울 용산구 서계동 33번지 일대에 추진하는 서계통합구역 주택정비형 재개발사업에 대한 추진위원회 구성이 승인됐다.용산구는 지난 달 28일 서계통합 ...,2025.12.09,서울,전체
10,10,"노원구 상계동 154-3번지 일대, 조합직접설립 추진",서울 노원구 상계동154-3번지 일대 주택정비형 재개발사업이 정비구역 지정 고시에 따라 조합설립 절차에 들어간다. 토지등소유자는 오는 2026년 11월까지 ...,2025.12.09,노원구,상계동
11,11,"홍제4구역, 인왕산 품은 단지로 재개발","서울 서대문구 홍제동 267-1번지 일대가 인왕산을 품은 877세대 단지로 재개발된다. 이 사업은 신속통합기획 시즌 2를 반영해 2028년 사업시행인가, 2031년  ...",2025.12.08,서울,전체
12,12,"연계형 정비사업 제도 손질, 시세재조사·일반분양 허용",정부가 연계형 정비사업을 활성화하기 위해 제도를 손질한다. 조합원 부담을 낮추고 사업성 지연을 막는 등 사업을 정상화시키겠다는 의지다.국토교통 ...,2025.12.08,그외,전체
13,13,"풍납미성아파트 413세대로 재건축, 문화유산 조사 조건",서울 송파구 풍납토성 인근에 위치한 ‘풍납미성아파트’가 총 413세대 규모 한강조망 단지로 거듭난다. 기존 275세대에서 413세대 규모로 한강 조망이 가 ...,2025.12.08,서울,전체
14,14,"서울시, 불광5구역 정비사업 조건부 의결...최고 45층 2425세대 공급",서울 은평구 불광동 238번지 일대 노후 주거지역이 정비사업으로 2400세대 규모의 단지로 탈바꿈한다.서울시는 지난 4일 제12차 정비사업 통합심의위원회 ...,2025.12.05,서울,전체
15,15,"성북1구역, GS-LH 손잡고 공공재개발...80m 단차 극복 특화설계",성북1구역이 GS건설과 LH의 손을 잡고 '자이 비원'으로 단지 생활의 시작을 알렸다.GS건설은 LH가 사업시행자로 참여하는 공공재개발사업인 '성북1구역 재 ...,2025.12.05,성북구,전체
16,16,"안양소년원 재건축 예산 확보...법무부, 과밀수용 해결책 마련","내년도 정부 예산에안양소년원 재건축, 중부권 여성소년원 신설 등이 반영됐다.법무부는 소년원 시설 확충으로 고질적 과밀수용을 해소할 근본적인 해 ...",2025.12.05,그외,전체
17,17,"세운지구 찾은 오세훈 ""개발떠나 주민 삶과 직결된 문제...사업 일정 구체화""","오세훈 서울시장이 세운지구 개발에 대해 ""개발을 떠나 주민의 삶과 직결된 문제""라며 사업 추진 병목지점을 검토하고 일정을 구체화하겠다고  ...",2025.12.04,서울,전체
18,18,노량진2구역 ‘드파인 동작’으로...404세대 규모 재개발,노량진2재정비촉진구역 주택재개발정비사업 조합(노량진2구역 재개발조합)이 4일 착공식을 열고 SK에코플랜트 하이엔드 브랜드 드파인을 적용한 '드파 ...,2025.12.04,그외,전체
19,19,재개발 조합설립 동의율 70%로 완화 추진,재개발사업의 조합설립 동의율을 현행 토지등소유자 4분의 3에서 100분의 70으로 낮추는 내용의 도시 및 주거환경정비법 일부개정법률안이 국회에서 발 ...,2025.12.04,서울,전체
20,20,"여의도 화랑아파트, 47층 244세대로 재건축 ",토지등소유자 동의율 87%로 조합을 설립한 여의도 화랑아파트가소규모 재건축을 추진한다.여의도 화랑아파트는 영등포구 여의도동 40-4번지 대지면적 9 ...,2025.12.04,그외,전체
21,21,정릉·수유·답십리·중화2·창전·성현동 모아타운 지정..8478세대 주택 공급,"서울시가 성북·강북·동대문·중랑·마포구 등 모아타운 6개 지역을 확정했다. 노후 저층 주거지 정비를 통해 총 8,478세대 규모의 주택을 공급한다.시는 ...",2025.12.03,성북구,전체
22,22,신흥3구역 '푸르지오 매그너스 파크'로...35층 3584세대 재개발,"경기 성남시 신흥3구역 재개발사업 시공사로 대우건설이 선정됐다. 이에 따라 대우건설은 올해 도시정비사업 누적 수주액은 3조 7,727억원을 달성했다.신 ...",2025.12.03,그외,전체
23,23,"영등포 신길13구역 공공재건축, 사업시행계획 인가","서울 영등포 신길13 재정비촉진구역 재건축 정비 사업이 사업시행계획 인가를 받았다서울주택도시개발공사(SH, 사장 황상하)는 27일 이같이 밝히고 "" ...",2025.11.28,서울,전체
24,24,"인천 만수주공 1~6단지, 1만1천세대로 재건축...조합설립추진위 승인",인천 남동구에 위치한만수주공아파트 1~6단지에 대한 재건축 사업 조합설립추진위원회가 승인됐다.남동구는 최근 고시 제2025-189호를 통해 '남동구 만수 ...,2025.11.27,그외,전체
25,25,잠실르엘·한화포레나미아 등 미리내집 400세대 입주자 모집,"서울의 대표 신혼부부 주거 지원 정책인 '미리내집'의 제6차 입주자 모집이 시작됐다.이번 공급은 신천, 미아 등 서울 전역 71개 단지에서 총 400세대 규모 ...",2025.11.27,서울,전체
26,26,"자양우성6차, 규제완화 수혜...용적률 360%·146세대 재건축","서울 광진구 자양우성6차 소규모재건축 추진준비위원회가 지난 14일, 22일 두차례 주민설명회를 열고 신속, 효율적인 사업 추진 의지를 밝혔다. 자양우성 ...",2025.11.25,서울,전체
27,27,"아이파크마리나·HDC현산, 부산 수영만요트경기장 재개발 착공",부산 해운대구 수영만 요트경기장이 동북아 해양 랜드마크로 탈바꿈한다.HDC그룹의 아이파크마리나와 HDC현대산업개발은 지난 24일 ‘수영만 요트경기장 ...,2025.11.25,그외,전체
28,28,"11월 넷째 주, 전국 11곳 2,080가구 청약 접수",분양 성수기인 가을임에도 불구하고 11월 넷째 주 청약 시장은 숨고르기에 들어간 분위기다.21일부동산 전문 리서치업체 리얼투데이에 따르면 11월 넷째 ...,2025.11.21,서울,전체
29,29,"동작구 본동구역, SH 사업시행자 지정 고시...분양 828세대로 확대",서울 동작구 본동 47번지 일대에서 추진 중인 본동구역 주택정비형 공공재개발사업이 사업시행자 지정 고시를 통해 착수 절차를 밟게 됐다.동작구는 지 ...,2025.11.21,서울,전체
30,30,"서울시, 세운지구 녹지재생 추진...시의회 ‘앙각규정 폐지’ 논의엔 선 그어",서울시가 종묘 맞은편에 위치한세운재정비촉진지구를 '녹지생태도심'으로 탈바꿈하는 개발을 추진 중인 가운데 서울시의회에서 '앙각규정 폐지'가 논 ...,2025.11.20,서울,전체
31,31,"개포우성6차 재건축 조합, 시공사 선정 돌입",서울 강남구 개포동에 위치한 개포우성6차 아파트가 재건축 사업을 위한 시공사 선정에 나선다.개포우성6차아파트 재건축조합은 지난 14일 시공사 선정 ...,2025.11.19,서울,전체
32,32,"규제 완화에 수원시, 도심 재정비 추진...우만·지동 등 재개발 길 열려",사진1) 13년만에 본궤도에 오른 R&D 사이언스파크 조감도.사진2) 첨단 연구 단지를 유치할 탑동 이노베이션밸리 조감도.사진3) 이재준 수원특례시장이 지 ...,2025.11.18,그외,전체
33,33,"국가유산청 ""유네스코, 종묘 앞 세운4지구 개발 승인 보류 요청""",유네스코가 서울 종묘 앞 세운4지구 재개발 계획에 우려를 밝히고 세계유산영향평가 결과가 나올 때까지 정비사업에 대한 승인을 보류할 것을 권고한  ...,2025.11.17,서울,전체
34,34,"삼성물산, 여의도 대교아파트 재건축 수주...'래미안 와이츠'로 탈바꿈",삼성물산 건설부문이 서울 영등포구 여의도동 대교아파트 재건축 사업 시공사로 선정됐다.여의도 대교아파트 재건축 조합은 15일 총회를 열고 삼성물산 ...,2025.11.16,서울,전체
35,35,오세훈 “세운지구 재개발은 서울의 미래...김 총리 조정자 역할 해달라”,"오세훈 서울시장은 16일 종묘 앞 세운4구역 재개발 사업에 대해 ""도시는 정체를 허락하지 않는 생명체""라며 ""서울의 미래를 위해 함께 가자&q ...",2025.11.16,서울,전체
36,36,"북가좌6구역 재건축 통합심의 통과, 불광천변에 1,953세대 공급","서울 서대문구 북가좌6구역 재건축 사업이 10여년 만에 본궤도에 올랐다. 정비사업으로 불광천변에 1,953세대 공동주택이 들어설 예정이다. ...",2025.11.14,서울,전체
37,37,"투기과열지구 지정 혼란 해소, 대책 이전 계약 '조합원 지위양도' 인정",국토교통부는 10.15 대책 시행 전 재건축 단지에서 매매 약정서를 작성하고 토지거래허가를 신청한 건에 한해 정식 계약 전이라도 조합원 지위 양도를 인 ...,2025.11.14,서울,전체
38,38,"여의도 시범아파트, 2,493세대로 재건축...한강 접근성 강화",여의도 시범아파트가 한강 품은 열린 단지로 재건축된다.서울시는 13일 제11차 정비사업 통합심의위원회에서 여의도 시범아파트 재건축 정비사업에 대 ...,2025.11.14,서울,전체
