,헤드라인,내용,날짜,자치구,법정동
0,"노원구 상계동 154-3번지 일대, 조합직접설립 추진",서울 노원구 상계동154-3번지 일대 주택정비형 재개발사업이 정비구역 지정 고시에 따라 조합설립 절차에 들어간다. 토지등소유자는 오는 2026년 11월까지 ...,2025.12.09,노원구,상계동
1,"성북1구역, GS-LH 손잡고 공공재개발...80m 단차 극복 특화설계",성북1구역이 GS건설과 LH의 손을 잡고 '자이 비원'으로 단지 생활의 시작을 알렸다.GS건설은 LH가 사업시행자로 참여하는 공공재개발사업인 '성북1구역 재 ...,2025.12.05,성북구,전체
2,정릉·수유·답십리·중화2·창전·성현동 모아타운 지정..8478세대 주택 공급,"서울시가 성북·강북·동대문·중랑·마포구 등 모아타운 6개 지역을 확정했다. 노후 저층 주거지 정비를 통해 총 8,478세대 규모의 주택을 공급한다.시는 ...",2025.12.03,성북구,전체
3,서울 강동역 역세권 활성화...818세대 복합단지로 탈바꿈,서울 5호선 강동역 일대에 총 818세대 규모의 공동주택과 판매 및 복지시설을 갖춘 복합시설이 세워진다.서울시는 지난 24일 열린 제10차 정비사업 통합심 ...,2025.10.27,강동구,전체
4,"노원구 상계5구역 재정비 현장 찾은 오세훈 ""인허가 절차·갈등해결에 힘 보탤 것""",서울시가 강북 지역 노후 주거지 재정비 사업 지원에 나선다. 오세훈 서울시장은 지난 24일 오전 국민의힘 지도부와 함께 노원구 상계5 재정비촉진구역 ...,2025.10.25,노원구,전체
5,"천호8구역, 520세대 규모 주거복합단지로 재개발...2027년 착공",서울 강동구 천호동 교통 요충지에 주거복합단지가 들어선다.서울시는 최근 열린 제9차 정비사업 통합심의위원회에서 ‘천호8 재정비촉진구역 도시정 ...,2025.10.01,강동구,천호동
6,"강동구, 매월 넷째 주 수요일 '정비사업 자문의 날'로 운영",서울 강동구는 9월부터‘정비사업 자문의 날’을 운영한다고 28일 밝혔다.정비사업은 도시환경 개선과 주거환경 향상을 위한 중요한 사업이나 관련 법 ...,2025.08.28,강동구,전체
7,"강동구, 천호·성내동 촉진지구 일부 해제...정비사업 탄력",서울 강동구 천호동·성내동 일대 정비사업이 탄력을 받는다. 최근 서울시가 해당 지역에 대한 재정비촉진계획 변경안을 가결하면서 민간개발 여건이  ...,2025.07.17,강동구,천호동
8,강동구 천호·성내동 재정비촉진계획 변경...노후 상업·주거지역 개발 활성화,서울시가 제6차 도시재정비위원회에서 '천호 재정비촉진지구' 내 존치관리구역을 촉진지구에서 해제하는 '천호재정비촉진지구 변경 및 촉진계획 변경 ...,2025.07.06,강동구,성내동
9,"강동구, 재건축·재개발 정비사업 아카데미 운영",서울 강동구는재개발·재건축 등 정비사업에 관심 있는 조합원과 주민들을 대상으로 ‘2025년 강동구 정비사업 아카데미’를 운영한다고 13일 밝혔다.강 ...,2025.06.13,강동구,전체
10,"서울 달동네 백사마을, 16년 만에 재개발...3178가구·2029년 준공 목표",서울 대표 달동네인 노원구 백사마을이 16년만에 재개발 사업을 추진한다. 서울시는 지난 4월 통합심의를 통해 정비계획을 확정하고 5월 8일부터 철거에 ...,2025.06.03,노원구,전체
11,"김태수 서울시의원, 성북구 재개발·모아타운 점검 ","서울 성북구에서 다양한 정비사업이 추진 중인 가운데 지분쪼개기 우려 해소, 기반시설 미확보 문제, 사업 지연 등의 문제 해결을 위한 관계자 회의가  ...",2025.05.08,성북구,전체
12,천호동 3-1구역 재개발...공공성·주민편의 강화,서울 강동구 천호동 214-19번지 일대(천호동 3-1구역)가 신속통합기획 정비사업을 통해 643가구 규모의 단지로 탈바꿈한다.서울시는 '도시계획위원회 신속 ...,2025.05.07,강동구,천호동
13,"‘북서울 센터마크’로...DL이앤씨·현대건설 컨소, 장위9구역 재개발 수주",서울 성북구 장위뉴타운 내 2270가구 규모의 랜드마크 단지가 세워진다. 지난 26일 장위9구역 주민 총회에서 시공사로 선정된 DL이앤씨와 현대건설 컨소시 ...,2025.04.28,성북구,전체
14,"60년 만에 재개발...노원 백사마을, 3,178가구로 탈바꿈",서울시는 제3차 정비사업 통합심의위원회에서 중계본동 재개발 마포로4구역 제1지구 재개발 관수동제8지구 재개발 신안빌라 재건축 등 4건의 정비계획 ...,2025.04.25,노원구,전체
15,"강동구, 천호3구역 재건축사업 적기 준공토록 지원",서울 강동구 천호3구역재건축사업(e편한세상 강동 프레스티지원)이 2026년 1월 준공을 목표로 사업을 추진 중인 가운데 강동구는 적기 준공을 위해 전담 ...,2025.04.07,강동구,전체
16,"강동구, ""명일동 일대 재건축 원활히 추진토록 지원""",서울 강동구청 관계자들이 명일동 일대 재건축 추진 단지 주체들과 만나 정비사업 현안과 진행사항을 공유했다.강동구는 지난 11일 명일동 삼익그린2차 ...,2025.03.19,강동구,명일동
17,"장위12구역, 도심 공공주택 복합지구 지정..1386가구 공급",서울 성북구 장위12구역이 도심 공공주택 복합지구로 지정됐다.도심 공공주택 복합사업은 주택 공급 확대를 위해 공공이 주도적으로 추진하는 사업이다 ...,2025.03.19,성북구,전체
18,"롯데건설·GS건설 컨소, 상계5구역 재개발 수주",롯데건설·GS건설 컨소시엄은 7094억 원 규모의 서울 노원구 상계5구역 재개발사업을 수주했다고 17일 밝혔다. 상계5재정비촉진구역 주택재개발정비사업 ...,2025.03.17,노원구,전체
19,서울 성북 석관동·용산 원효로4가 모아타운 심의 통과...3940가구 공급,서울시 성북구 석관동과 용산구 원효로4가 일대 모아타운에 총 3940가구(임대 660가구) 규모의 주택이 공급될 예정이다.서울시는 지난 13일 제3차 소규모주 ...,2025.02.14,성북구,석관동
20,"하계미성아파트 재건축 추진준비위, 22일 주민설명회 개최",서울 노원구 하계동 280 일원 하계미성아파트 재건축 추진 준비위원회는 오는 22일 오후 3시 영화교회에서 재건축 주민설명회를 개최한다.5일 정비업계에 ...,2025.02.05,노원구,하계동
21,올림픽파크포레온 단지 내 도시형캠퍼스 설립 추진,서울 강동구 올림픽파크포레온과 고덕강일3지구에 교육시실이 들어설 것으로 보인다.강동구는 5일 고덕강일3지구 (가칭)서울강솔초등학교 강현캠퍼스 ...,2025.02.05,강동구,전체
22,"상계주공14단지 재건축예비추진위, 설명회 개최",서울시 노원구 상계동 721번지 일대 상계주공14단지 재건축예비추진위원회는 오는 22일 오후 2시 노원구청 6층 소강당에서 재건축 설명회를 개최한다.4일 ...,2025.02.04,노원구,상계동
23,노원구 재건축·재개발 신속추진 포럼 개최,서울 노원구는 속도감 있는 정비사업 추진을 위해 '노원구 재건축․재개발 신속추진 포럼'을 운영한다고 14일 밝혔다.포럼은 오는 15일 18시 30분 노원평 ...,2025.01.14,노원구,전체
24,"강동구, 재건축·재개발 공동주택 행위허가·신고 제도 개선",서울 강동구는 관내 재건축·재개발 공동주택 행위허가 및 신고 제도를 이전고시 전에도 가능하도록 개선했다고 6일 밝혔다.천호뉴타운 1구역 재개발‘ ...,2025.01.06,강동구,전체
